"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2023-12-20","HOU",98,134,30,51,0.5882352941176471,17,40,0.425,0.4358974358974359,23,42,18,30,21,0.7,0.7777777777777778,0.5882352941176471,0.43956043956043955,0.5007838888888888,0.6098901098901099,0.6568627450980392,6,6,0.11764705882352941,0,0
"2023-12-22","MIA",100,113,23,42,0.5476190476190477,19,54,0.35185185185185186,0.35185185185185186,10,28,18,45,12,0.6086956521739131,0.6666666666666666,0.7894736842105263,0.5625,0.49600572916666663,0.5364583333333334,0.5490196078431373,4,2,0.047619047619047616,0,0
"2023-12-23","MEM",99,119,32,53,0.6037735849056604,13,43,0.3023255813953488,0.3023255813953488,16,34,30,33,6,0.53125,0.6296296296296297,0.8461538461538461,0.4479166666666667,0.55455,0.5364583333333334,0.5721153846153846,10,6,0.11320754716981132,1,0.023255813953488372
"2023-12-26","CHI",98,113,28,44,0.6363636363636364,13,45,0.28888888888888886,0.28888888888888886,18,24,32,36,3,0.42857142857142855,0.5454545454545454,0.9230769230769231,0.5056179775280899,0.5625085227272727,0.5337078651685393,0.576530612244898,12,2,0.045454545454545456,0,0
"2023-12-29","SAC",98,110,22,51,0.43137254901960786,15,43,0.3488372093023256,0.35714285714285715,21,32,12,39,6,0.7272727272727273,0.8,0.8666666666666667,0.4574468085106383,0.56635,0.4734042553191489,0.5288461538461539,4,3,0.058823529411764705,0,0
"2023-12-31","WAS",107,130,35,63,0.5555555555555556,12,32,0.375,0.375,24,32,38,33,3,0.45714285714285713,0.48484848484848486,0.9166666666666666,0.3368421052631579,0.4918026315789473,0.5578947368421052,0.5818181818181818,4,9,0.14285714285714285,0,0
"2024-01-03","OKC",106,141,34,56,0.6071428571428571,14,39,0.358974358974359,0.358974358974359,31,36,32,36,6,0.5294117647058824,0.6428571428571429,0.8571428571428571,0.4105263157894737,0.5605547368421052,0.5789473684210527,0.6363636363636364,12,1,0.017857142857142856,0,0
"2024-01-05","IND",105,116,30,51,0.5882352941176471,10,42,0.23809523809523808,0.23809523809523808,26,24,36,27,3,0.4,0.42857142857142855,0.9,0.45161290322580644,0.5182935483870968,0.4838709677419355,0.5471698113207547,4,3,0.058823529411764705,0,0
"2024-01-07","ORL",105,110,33,61,0.5409836065573771,9,30,0.3,0.3,17,28,38,21,6,0.42424242424242425,0.45161290322580644,0.7777777777777778,0.32967032967032966,0.5283104395604395,0.510989010989011,0.5445544554455446,4,3,0.04918032786885246,0,0
"2024-01-10","PHI",111,139,36,68,0.5294117647058824,12,34,0.35294117647058826,0.36363636363636365,31,40,32,36,0,0.5555555555555556,0.6060606060606061,1,0.3333333333333333,0.573656,0.5294117647058824,0.5805084745762712,6,9,0.1323529411764706,0,0
"2024-01-12","IND",98,108,29,59,0.4915254237288136,11,30,0.36666666666666664,0.36666666666666664,17,32,26,27,6,0.5517241379310345,0.5925925925925926,0.8181818181818182,0.33707865168539325,0.5451162921348315,0.5112359550561798,0.5459183673469388,4,7,0.11864406779661017,2,0.06666666666666667
"2024-01-13","WAS",103,99,21,53,0.39622641509433965,11,40,0.275,0.275,24,22,20,30,3,0.5238095238095238,0.5789473684210527,0.9090909090909091,0.43010752688172044,0.5580387096774193,0.4032258064516129,0.4583333333333333,4,9,0.16981132075471697,0,0
"2024-01-15","SAS",108,109,27,55,0.4909090909090909,13,38,0.34210526315789475,0.34210526315789475,16,30,24,27,12,0.5555555555555556,0.6521739130434783,0.6923076923076923,0.40860215053763443,0.5810322580645162,0.5,0.5343137254901961,8,8,0.14545454545454545,0,0
"2024-01-17","ORL",96,106,31,51,0.6078431372549019,8,25,0.32,0.32,20,30,32,18,6,0.4838709677419355,0.5357142857142857,0.75,0.32894736842105265,0.5840947368421052,0.5657894736842105,0.6235294117647059,6,6,0.11764705882352941,2,0.08
"2024-01-19","MIA",95,109,25,52,0.4807692307692308,15,35,0.42857142857142855,0.4411764705882353,14,22,28,36,9,0.44,0.5,0.8,0.40229885057471265,0.5449829411764705,0.5459770114942529,0.5797872340425532,6,2,0.038461538461538464,0,0
